Group.1	P32DA1	P32DA2	P32DA3	P32DB1	P32DB2	P32DB3	P32HA1	P32HA2	P32HA3	P32HB1	P32HB2	P32HB3	P60DA1	P60DA2	P60DA3	P60DB1	P60DB2	P60DB3	P60HA1	P60HA2	P60HA3	P60HB1	P60HB2	P60HB3
Ring1	694.84	1111.361	691.831	673.672	537.101	609.478	804.793	1329.313	545.709	426.682	1169.863	819.494	702.595	3467.919	731.276	764.624	623.051	572.479	1042.581	771.257	683.915	731.865	397.522	581.741
Riok1	8975.759	9318.612	8071.287	8549.862	8629.072	7077.8	8261.075	8668.735	7468.056	8216.149	8358.374	7089.454	9708.641	6461.357	7296.309	8783.976	7039.944	5980.112	8837.645	9300.937	7826.047	9711.764	8244.82	6692.415
Riok2	3278.579	3520.308	3986.773	3389.255	3361.456	3531.273	4130.324	4149.888	3772.027	4054.079	3419.968	3039.165	3976.007	1881.09	4368.695	3424.718	3834.944	2534.503	4845.136	6831.824	3819.346	3734.627	5252.878	3023.646
Riok3	6417.091	6766.721	4633.171	5904.117	7181.579	4563.258	4730.627	6657.423	5118.137	5683.062	6439.412	4400.479	7118.664	4273.718	5046.336	6445.207	6191.152	5082.186	6319.882	7580.485	5230.393	6533.747	7342.752	4760.612
Ripk1	1144.454	3643.956	1007.817	1373.632	4376.035	1002.237	1376.551	1749.35	637.871	818.501	2457.407	967.771	1103.402	666.846	895.027	1077.31	744.66	593.569	704.515	582.95	513.784	938.642	823.461	433.631
Ripk2	2342.6045	1508.615	2570.1825	2834.3015	2089.6595	2767.4105	3143.5555000000004	1121.7939999999999	2104.749	2394.0995	1797.5030000000002	2321.535	2531.451	2158.48	2183.543	3114.3875	3420.307	3255.5285	2010.3654999999999	2160.8165	1936.974	2594.7169999999996	2735.691	2497.9135
Ripk3	1591.38	2616.504	2612.283	1742.106	3852.823	2386.558	2578.792	1131.094	745.804	2490.484	2212.526	1284.279	2116.495	2237.607	1906.231	2488.36	3506.105	2559.468	892.085	1586.532	760.194	1678.797	2214.792	1808.481
Ripk5	920.31	468.518	335.724	759.505	149.079	290.778	473.312	878.957	995.658	237.106	842.6	593.767	718.907	924.748	160.315	710.8	1533.593	950.763	894.931	792.422	1218.139	702.827	483.44	810.696
Ripx	7061.558	3065.207	5171.0765	6232.139999999999	1954.863	3996.6059999999998	4322.234	4788.1525	7487.334	4426.2845	4231.476	5217.6755	6601.7855	4676.3945	4519.433	5356.7225	3605.4469999999997	4315.2705	8359.387499999999	7958.7315	9128.7255	7136.3325	5323.8485	5772.856
Rit1	7440.637	10594.434	10082.609	8302.785	12268.945	10534.59	9105.864	11458.168	8862.556	9812.284	11796.812	9199.34	7895.52	11373.15	9386.005	8468.726	13455.925	9431.388	8370.686	13668.594	8738.561	7559.552	13890.723	9957.721
Rit2	6789.443	3742.755	4954.399	9006.663	5277.978	5764.831	11762.371	5780.626	5411.668	8949.133	6904.939	4889.934	8772.919	2967.83	3663.949	10536.783	16479.429	5661.783	7143.618	8115.318	5088.637	10456.405	10699.876	6250.904
Rkhd2	1298.74	87.7715	276.9555	1097.278	59.03699999999999	238.015	712.9105	81.893	646.806	531.742	122.322	428.32050000000004	1054.853	707.8185000000001	152.57049999999998	1225.0725	723.4525	829.345	727.8745	407.7845	770.9745	848.3489999999999	413.756	773.994
Rlbp1	379.839	258.519	498.348	2148.731	1111.152	1972.751	2213.312	151.188	799.359	1859.113	1173.757	3302.709	356.299	223.169	194.795	1866.79	717.5	2162.431	399.889	138.084	548.071	2313.919	547.18	2092.527
Rlf	3207.0525000000002	1847.7175	2330.6495	3138.937	1070.5805	2200.712	3008.3655	1818.2915	2763.569	2156.819	2003.822	2463.0919999999996	3260.909	2486.488	2080.0315	3243.8605	2133.4449999999997	2485.8325	2638.7325	2396.1985	3274.546	2698.271	2286.445	2845.0345
Rnase1	256.832	295.189	813.876	318.886	852.176	898.661	339.116	178.029	227.571	604.453	317.615	465.211	262.129	131.259	403.925	242.472	608.464	228.98	205.474	251.271	251.754	243.799	467.507	260.591
Rnase4	1763.444	4991.712	2346.874	3178.934	9178.679	3154.591	5829.045	6021.194	1991.664	4515.087	9009.877	2949.885	2307.909	1308.555	2703.368	3762.954	9853.68	3896.503	1858.926	5482.735	1471.962	3514.801	9872.547	3622.663
Rnaseh1	2506.467	3959.663	5069.427	2688.444	4655.268	4705.478	2794.883	4997.823	5070.966	3160.307	4260.873	4264.965	2736.729	3256.197	5695.864	2516.204	3971.646	4062.912	3403.284	6605.299	5200.448	2558.174	5582.63	4502.867
Rnaseh2a	5145.514	14251.032	8687.906	4814.067	13181.343	8345.379	6107.13	12738.29	10074.066	6415.26	11071.905	9402.63	6688.477	9644.612	10165.104	5353.226	7704.726	7960.047	8603.04	10144.201	9815.81	6003.583	9107.141	8232.463
Rnasel	765.209	368.754	641.908	908.624	248.091	749.914	987.589	308.165	763.097	579.845	416.238	806.685	945.749	730.169	482.742	1160.695	248.839	686.457	522.755	191.41	602.639	728.497	189.954	712.421
Rnasen	9792.398	14013.845	5447.235	9358.579	10462.053	4699.583	9336.742	11499.53	8336.714	8788.11	12114.076	6657.414	11482.619	12356.788	6734.195	10052.445	11387.934	8901.727	11689.175	13795.59	9348.584	9110.221	11202.731	8757.463
Rnaset2	23225.877	14429.579	21664.558	26286.125	19003.827	21426.835	31140.183	13741.986	16405.41	26108.486	16461.341	18034.157	26002.781	19416.57	21400.641	30272.834	22144.091	24142.105	19492.375	12806.293	14697.367	23694.29	17281.468	20221.393
Rnd1	560.445	1181.208	743.573	570.184	1895.768	448.504	1194.688	1268.114	321.011	548.927	1164.951	512.039	654.307	846.163	578.147	683.786	326.752	474.787	539.478	407.322	498.912	532.42	306.19	623.916
Rnd2	4743.183	7186.179	11443.996	6346.857	11173.676	17363.626	8416.078	6336.13	9135.634	7509.745	9122.422	23580.277	4972.003	10603.909	8839.331	7184.088	6466.782	12750.606	5600.946	5262.138	8904.649	8823.665	7661.207	16067.453
Rnd3	21475.948	8898.657	10936.081	17059.188	7421.872	7786.364	13153.301	8362.405	8010.452	9593.265	6060.891	5916.256	17500.38	11973.892	11651.286	14473.701	5901.859	7306.224	13439.921	7914.621	8910.53	10457.941	7225.96	4609.476
Rnf10	7657.697	14754.484	4933.674	7399.849	10739.975	4818.919	8824.023	9437.693	5046.097	7569.559	9524.304	5145.681	6770.584	11128.313	6093.802	7007.938	8624.207	7748.55	6579.625	6839.496	5309.275	6275.451	6341.347	6749.112
Rnf103	4828.471	3728.513	4287.025	5816.965	2324.175	4933.348	5606.947	2720.707	5318.682	4174.078	3374.892	5489.113	6847.02	4060.304	4723.97	6598.462	3838.446	4119.847	4269.932	5526.816	5965.837	7622.326	4874.012	4991.406
Rnf111	3278.019	868.946	1149.437	2789.783	388.454	984.824	1829.923	1204.907	2296.388	768.499	1067.24	1559.547	3060.467	2263.934	1254.451	3287.552	4192.44	2202.733	2718.371	1885.171	2697.928	2984.484	2346.425	2001.901
Rnf12	2732.432	1144.809	2122.005	2773.056	715.976	2007.296	2902.93	1156.102	1616.482	2326.803	1137.287	1718.728	3318.937	1194.031	1568.479	3149.275	2398.433	1657.331	2585.342	2453.263	1903.39	3315.556	2280.748	1806.832
Rnf121	661.696	939.241	1492.36	608.342	1576.369	1477.069	1015.872	1020.273	876.442	1137.136	1048.63	1023.115	945.582	688.878	1314.628	890.159	1200.756	896.977	833.865	1002.454	792.02	809.076	1048.959	871.847
Rnf125	2545.378	2330.284	2846.507	2203.143	1836.855	1532.939	1739.157	1845.16	1797.702	1550.741	1618.614	1484.701	2367.779	2368.665	2409.889	1697.981	1070.088	1725.62	2612.083	1940.093	1768.777	1826.136	1478.835	1335.884
Rnf126	324.54	394.093	452.77	313.742	268.898	398.473	360.168	476.023	493.396	354.747	359.919	386.053	281.864	757.325	644.295	258.477	219.782	406.812	557.332	336.629	495.349	300.936	245.685	433.208
Rnf138	1166.344	366.67	1357.648	1075.958	559.293	1282.212	1129.962	384.257	813.159	1356.104	487.823	784.107	1395.305	730.364	1096.638	1411.282	538.712	810.041	1000.924	531.897	838.912	1104.018	473.779	813.902
Rnf139	13768.587	7124.02	12579.644	14807.52	6904.332	13883.861	12750.449	7268.024	12519.127	11947.13	9508.22	13824.146	15841.791	10138.065	12146.99	16219.547	9944.321	10974.508	12968.318	10454.908	13453.465	17035.506	10534.49	12528.528
Rnf14	15232.907	7927.699	13318.308	13671.351	6155.442	14041.175	9046.467	8757.698	22225.973	8071.943	9528.946	16664.729	15199.053	18652.272	10203.765	13818.495	15836.095	19729.922	18140.792	18287.063	29480.414	15082.588	16402.71	23567.52
rnf141	1868.438	1913.075	2091.181	1562.109	2585.889	2112.59	1573.606	1954.05	2168.781	1711.655	1917.362	1769.494	1706.726	1467.21	1885.374	1783.835	3398.77	2207.617	1416.226	2273.216	2114.259	1410.128	2752.604	1854.937
Rnf146	11103.94	7797.5	10210.244	11000.808	5986.675	9793.199	8851.908	8346.559	10929.239	7095.154	7850.189	9457.608	10698.973	9037.199	7969.704	10330.362	9722.501	8748.529	9184.49	12782.643	11809.349	9816.981	11012.561	10376.802
Rnf149	2609.631	1915.291	2176.957	2278.757	2086.713	2353.293	1947.247	1776.833	3046.926	1953.779	1629.319	2969.156	2769.949	2157.755	1896.951	2554.982	2732.166	2196.369	3377.084	3659.417	3784.439	2619.637	3100.499	2937.949
Rnf151	171.016	891.194	623.207	170.555	1199.614	596.548	304.017	555.1	236.93	415.907	678.778	217.377	190.879	250.981	654.459	194.643	404.576	264.754	182.074	555.611	257.86	136.143	645.237	278.33
Rnf152	698.17	368.245	528.627	679.647	437.884	498.073	919.777	254.403	303.446	319.566	452.745	463.524	660.566	320.31	451.772	691.591	250.901	400.494	537.298	210.013	237.652	598.088	186.435	274.83
Rnf166	1874.584	2506.363	4104.281	2125.373	2263.745	3957.251	2772.515	2220.174	3097.741	2746.504	1800.686	3151.462	1974.929	4417.952	3762.821	2006.283	1806.474	3530.584	2344.715	1648.875	2919.633	1884.544	1888.52	3234.151
Rnf167	9324.996	5136.399	8540.076	11868.718	3371.865	8946.915	10108.591	4470.56	9008.18	8413.8	4711.131	9941.971	8641.415	10606.135	7659.653	10479.698	8628.737	8916.581	8505.964	6514.379	8599.322	10496.995	6528.691	9003.581
Rnf19	3305.205	1545.64	1089.534	3229.208	624.815	945.153	1850.534	1270.007	2192.402	1128.487	1439.147	1842.871	2810.314	2206.689	833.369	3062.436	2253.922	2583.659	2296.685	1152.694	1874.616	2834.604	1287.283	1870.1
